2022987654,Carlos Picoto,a2022987654@isec.pt,LEI-PL,SI,0.123,TRUE
2015123456,Fernanda Gaspar,a2015123456@isec.pt,LEI,DA,0.37,TRUE
2019999999,Mário Tavares,a2019999999@isec.pt,LEI,DA,0.37,FALSE
2020111111,Rute Miranda,a2020111111@isec.pt,LEI,RAS,0.37,TRUE
2020111111,José Santos,a2020111111@isec.pt,LEI,DA,0.37,FALSE
2019130796,Mauro Jesus,2019130796,LEI-A,ABC,0.37,FALSE
2019130855,Carlos Santos,a2019130855@abc.abc,LEI,DA,5000,FALSE
aaaaaaa,Carlos Maria,aaaaaaa@isec.pt,LEI-EU,SI,0.55,TRUE
2019155858,Maria Nunes,a2019155858@isec.pt,LEI-PL,RAS,0.65,FALSE
2016545687,João Pedro,a2016545687@isec.pt,LEI,DA,0.44,FALSE
2019342412,Maria Luisa,a2019342412@isec.pt,LEI,SI,0.33,TRUE
2017032321,Joao Teixeira,a2017032321@isec.pt,LEI-PL,DA,0.45,TRUE
2018012213,Paulo Miranda,a2018012213@isec.pt,LEI,SI,0.33,TRUE
2019130955,Ruben Almeida,a2019130955@isec.pt,LEI,DA,0.49,TRUE
2020432212,Joao Paulo,a2020432212@isec.pt,LEI,DA,0.66,TRUE
2020431521,Pedro Miguel,a2020431521@isec.pt,LEI,SI,0.66,TRUE
